source,published_date,adx_keywords,byline,title,abstract,des_facet,per_facet,media
New York Times,2020-09-03,"Murders, Attempted Murders and Homicides;Antifa Movement (US);George Floyd Protests (2020);Black Lives Matter Movement;Police Brutality, Misconduct and Shootings;Right-Wing Extremism and Alt-Right;Reinoehl, Michael (1972-2020);Danielson, Aaron J (d 2020);Patriot Prayer;Portland (Ore)","By Hallie Golden, Mike Baker and Adam Goldman",Suspect in Fatal Portland Shooting Is Killed by Officers During Arrest,"Law enforcement agents killed Michael Forest Reinoehl while trying to arrest him, four officials said. He was being investigated in the fatal shooting of a supporter of a far-right group.","['Murders, Attempted Murders and Homicides', 'Antifa Movement (US)', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'Right-Wing Extremism and Alt-Right']","['Reinoehl, Michael (1972-2020)', 'Danielson, Aaron J (d 2020)']","Michael Reinoehl was killed by a federally led fugitive task force in Lacey, Wash., on Thursday. He was being investigated in a fatal shooting at a Portland protest."
New York Times,2020-09-05,"Boats and Boating;Parades;Maritime Accidents and Safety;Rescues;Trump, Donald J;Lake Travis (Tex)",By Bryan Pietsch and Aimee Ortiz,"At Least 4 Boats Sink During ‘Trump Boat Parade’ in Texas, Officials Say","No injuries were immediately reported at the event, which was taking place on Lake Travis.","['Boats and Boating', 'Parades', 'Maritime Accidents and Safety', 'Rescues']","['Trump, Donald J']","Owners of boats of “all shapes and sizes” were encouraged to participate and to decorate their craft with “as many Trump flags” as possible at the event in Lake Travis in Texas, a Facebook page said."
New York Times,2020-08-24,Comedy and Humor;Coronavirus (2019-nCoV);New York City,By Jerry Seinfeld,Jerry Seinfeld: So You Think New York Is ‘Dead’,(It’s not.),"['Comedy and Humor', 'Coronavirus (2019-nCoV)']",[],
New York Times,2020-08-27,"Murders, Attempted Murders and Homicides;Demonstrations, Protests and Riots;Video Recordings, Downloads and Streaming;Rittenhouse, Kyle;Blake, Jacob (August 23, 2020 Shooting);Kenosha (Wis)","By Haley Willis, Muyi Xiao, Christiaan Triebert, Christoph Koettl, Stella Cooper, David Botti, John Ismay and Ainara Tiefenthäler",Tracking the Suspect in the Fatal Kenosha Shootings,Footage appears to show a teenager shooting three people during protests in Wisconsin. We tracked his movements that night.,"['Murders, Attempted Murders and Homicides', 'Demonstrations, Protests and Riots', 'Video Recordings, Downloads and Streaming']","['Rittenhouse, Kyle', 'Blake, Jacob (August 23, 2020 Shooting)']",
New York Times,2020-08-27,Hurricane Laura (2020);Deaths (Fatalities);Power Failures and Blackouts;Gulf Coast (US);Louisiana;Texas,,Hurricane Laura Kills at Least 6 People in Louisiana,"After landfall overnight with 150 m.p.h. winds, Laura ripped northward. Officials confirmed at least six deaths tied to the storm, and hundreds of thousands of people have lost power.","['Hurricane Laura (2020)', 'Deaths (Fatalities)', 'Power Failures and Blackouts']",[],
New York Times,2020-08-28,"Deaths (Obituaries);Movies;Actors and Actresses;Black People;Boseman, Chadwick",By Reggie Ugwu and Michael Levenson,‘Black Panther’ Star Chadwick Boseman Dies of Cancer at 43,"The actor also played groundbreaking figures like James Brown, Jackie Robinson and Thurgood Marshall, becoming one of his generation’s most sought-after leading men.","['Deaths (Obituaries)', 'Movies', 'Actors and Actresses', 'Black People']","['Boseman, Chadwick']","The actor Chadwick Boseman in 2018. He was 35 when he appeared in his first prominent role, as Jackie Robinson."
New York Times,2020-08-29,Coronavirus (2019-nCoV);Tests (Medical);Contact Tracing (Public Health);Laboratories and Scientific Equipment;your-feed-healthcare;Centers for Disease Control and Prevention;Food and Drug Administration,By Apoorva Mandavilli,Your Coronavirus Test Is Positive. Maybe It Shouldn’t Be.,The usual diagnostic tests may simply be too sensitive and too slow to contain the spread of the virus.,"['Coronavirus (2019-nCoV)', 'Tests (Medical)', 'Contact Tracing (Public Health)', 'Laboratories and Scientific Equipment', 'your-feed-healthcare']",[],"Tests authorized by the F.D.A. provide only a yes-no answer to infection, and will identify as positive patients with low amounts of virus in their bodies."
New York Times,2020-08-30,"George Floyd Protests (2020);Demonstrations, Protests and Riots;Patriot Prayer;Portland (Ore);Oregon",By Mike Baker,One Person Dead in Portland After Clashes Between Trump Supporters and Protesters,A man affiliated with a right-wing group was shot and killed Saturday night. A caravan of supporters of President Trump had driven into downtown Portland.,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots']",[],"I can’t get in to edit the digital column, Should be: Police officers guard the area where a man was shot and killed during unrest Saturday night in Portland, Ore."
New York Times,2020-08-11,"Coronavirus (2019-nCoV);Coronavirus Risks and Safety Concerns;RNA (Ribonucleic Acid);Hospitals;Epidemics;Disease Rates;your-feed-science;Marr, Linsey;Lednicky, John;University of Florida;Gainesville (Fla)",By Apoorva Mandavilli,‘A Smoking Gun’: Infectious Coronavirus Retrieved From Hospital Air,"Airborne virus plays a significant role in community transmission, many experts believe. A new study fills in the missing piece: Floating virus can infect cells.","['Coronavirus (2019-nCoV)', 'Coronavirus Risks and Safety Concerns', 'RNA (Ribonucleic Acid)', 'Hospitals', 'Epidemics', 'Disease Rates', 'your-feed-science']","['Marr, Linsey', 'Lednicky, John']","Doctors in Johannesburg demonstrated how to place a device called an intubox over a patient, to help curb the spread of viral droplets during intubation."
New York Times,2020-08-16,your-feed-science;Coronavirus (2019-nCoV);Immune System;Antibodies;your-feed-health;Cell (Journal);Nature (Journal),By Katherine J. Wu,"Scientists See Signs of Lasting Immunity to Covid-19, Even After Mild Infections",New research indicates that human immune system cells are storing information about the coronavirus so they can fight it off again.,"['your-feed-science', 'Coronavirus (2019-nCoV)', 'Immune System', 'Antibodies', 'your-feed-health']",[],"Medical workers taking a blood test for antibodies in Miami Lakes, Fla., in July."
New York Times,2020-08-15,"Deaths (Obituaries);Trump, Robert S (1948- );Trump, Donald J;Trump, Fred C;Trump, Mary L;Trump Organization",By Annie Karni,"Robert S. Trump, the President’s Younger Brother, Dies at 71","A loyal spokesman for the family, he shunned the spotlight and had “zero sense of entitlement.”",['Deaths (Obituaries)'],"['Trump, Robert S (1948- )', 'Trump, Donald J', 'Trump, Fred C', 'Trump, Mary L']","Robert Trump, left, with the future president at a society event in 1999."
New York Times,2020-09-03,"Police Brutality, Misconduct and Shootings;Black People;Demonstrations, Protests and Riots;Black Lives Matter Movement;Prude, Daniel (d 2020);Rochester (NY)","By Sarah Maslin Nir, Michael Wilson, Troy Closson and Jesse McKinley",7 Police Officers Suspended as a Black Man’s Suffocation Roils Rochester,"Daniel Prude, who was having a psychotic episode, died after police officers placed a mesh hood over his head in March.","['Police Brutality, Misconduct and Shootings', 'Black People', 'Demonstrations, Protests and Riots', 'Black Lives Matter Movement']","['Prude, Daniel (d 2020)']",Protesters gathered at the site where Daniel Prude was fatally injured as the Rochester police tried to detain him in March. It was not until Wednesday that gruesome video of the encounter was made public.
